,dong,인구사회쇠퇴지수,산업경제쇠퇴지수,물리환경쇠퇴지수,복합쇠퇴지수,순위(복합),순위(인구사회),순위(산업경제),순위(물리환경)
0,선학동,26.512355744876018,30.069433111279032,25.369106887535942,81.95089574369099,1.0,1.0,5.0,1.0
1,청학동,24.902575700229768,32.731939819831325,21.998652187578998,79.6331677076401,2.0,2.0,4.0,2.0
2,동춘동,11.41777599716784,46.21861225142282,17.9156114736255,75.55199972221615,4.0,5.0,1.0,4.0
3,송도동,0.0,2.2518068506433075,0.0,2.2518068506433075,6.0,6.0,6.0,6.0
4,연수동,23.47451231531823,38.018983672873276,17.2369688872994,78.73046487549091,3.0,3.0,2.0,5.0
5,옥련동,16.80866483134987,33.91836276005489,19.697690451101014,70.42471804250577,5.0,4.0,3.0,3.0
