,dong,year,senior_rate,std
0,동춘동,2011,38.705156950672645,0.16111021580717488
1,동춘동,2012,39.798097456804506,0.16565958066394876
2,동춘동,2013,42.409470752089135,0.17652942200557104
3,동춘동,2014,45.91488039763902,0.1911206896551724
4,동춘동,2015,48.988204739746784,0.203913402229196
5,동춘동,2016,51.709786276715406,0.21524198537682787
6,동춘동,2017,56.64665018250324,0.23579168138466972
7,동춘동,2018,62.082444918265814,0.2584181769722815
8,동춘동,2019,65.13058493416793,0.271106059788474
9,동춘동,2020,72.80485066247473,0.3030501908825511
10,동춘동,2021,81.57649253731343,0.33956215018656716
11,선학동,2011,79.21635434412265,0.32973807495741053
12,선학동,2012,86.19005328596802,0.3587660968028419
13,선학동,2013,94.10399257195915,0.39170786908078
14,선학동,2014,107.64972320080524,0.44809197282335184
15,선학동,2015,119.91434689507494,0.49914346895074946
16,선학동,2016,128.54748603351956,0.5350789106145252
17,선학동,2017,143.2636469221835,0.5963349303135889
18,선학동,2018,163.64201367308888,0.6811598819142325
19,선학동,2019,186.6089273817455,0.7767596602265157
20,선학동,2020,217.5832127351664,0.9056901230101302
21,선학동,2021,240.24024024024024,1.0
22,송도동,2011,0.0,0.0
23,송도동,2012,20.99804163342279,0.08740434829912236
24,송도동,2013,21.464792348674496,0.0893471981513576
25,송도동,2014,20.904409398133247,0.08701460411972964
26,송도동,2015,21.78260045489007,0.09067007439347992
27,송도동,2016,22.2397543605271,0.09257297752569406
28,송도동,2017,23.26601941747573,0.09684480582524273
29,송도동,2018,24.12786657400973,0.1004322446143155
30,송도동,2019,25.53555327550291,0.10629174050928086
31,송도동,2020,26.883379442434563,0.11190206692913388
32,송도동,2021,29.25505673408979,0.12177417365564876
33,연수동,2011,53.12678198061205,0.22114022999429767
34,연수동,2012,58.67052023121387,0.24421604046242773
35,연수동,2013,64.20022895202415,0.2672334530128005
36,연수동,2014,70.85064509075005,0.2949158101902471
37,연수동,2015,78.05136663524976,0.32488881361922717
38,연수동,2016,86.91908319615044,0.3618006838039762
39,연수동,2017,97.4479516453996,0.40562709872397584
40,연수동,2018,112.51109139307897,0.4683274179236912
41,연수동,2019,133.5157545605307,0.5557593283582091
42,연수동,2020,162.47199402539206,0.6762896751306945
43,연수동,2021,182.41427712051333,0.7592994285141368
44,옥련동,2011,48.403528388619705,0.20147968691762952
45,옥련동,2012,52.96665791546338,0.22047371357311632
46,옥련동,2013,58.45196959225984,0.2433063234277816
47,옥련동,2014,63.267687819110144,0.26335175054704596
48,옥련동,2015,67.86202704756116,0.2824756875854733
49,옥련동,2016,72.92191435768261,0.3035374685138539
50,옥련동,2017,79.95425584054892,0.3328095899362849
51,옥련동,2018,89.02289809473868,0.3705578133193497
52,옥련동,2019,101.79149990470746,0.42370711835334485
53,옥련동,2020,115.13742926434922,0.47925954931285364
54,옥련동,2021,132.20636663007684,0.5503090010976949
55,청학동,2011,60.483297796730625,0.2517617270788912
56,청학동,2012,70.86092715231787,0.2949586092715231
57,청학동,2013,80.11901541790641,0.33349540167703545
58,청학동,2014,86.55201578798986,0.36027276571750777
59,청학동,2015,95.46699117736537,0.39738135077578335
60,청학동,2016,109.39373750832777,0.45535143237841436
61,청학동,2017,123.29345531315974,0.5132090077410274
62,청학동,2018,144.61778471138845,0.6019715288611545
63,청학동,2019,171.79938407391114,0.7151149362076551
64,청학동,2020,202.02312138728323,0.8409212427745665
65,청학동,2021,231.07756376887036,0.9618603591879229
