읍면동명,인구사회쇠퇴지수,산업경제쇠퇴지수,물리환경쇠퇴지수,복합쇠퇴지수,순위(복합),순위(인구사회),순위(산업경제),순위(물리환경)
동춘동,14.803477036395638,24.53526541944941,22.475442057932433,61.81418451377747,1.0,1.0,4.0,1.0
선학동,11.20981003835023,35.523430188460274,14.166934873191007,60.90017510000151,2.0,3.0,1.0,3.0
청학동,8.169992723594731,30.657732539632857,14.952512321127346,53.780237584354936,3.0,5.0,2.0,2.0
연수동,13.839609240627816,26.047668927596277,8.862482981,48.74976114922409,4.0,2.0,3.0,5.0
옥련동,10.722179217744383,13.8307574528327,11.432873060485068,35.98580973106215,5.0,4.0,5.0,4.0
