,gid,population_cnt,year
265,다사263367,327,2018
266,다사230324,478,2018
267,다사257325,528,2018
268,다사286358,265,2018
269,다사277364,140,2018
270,다사251304,818,2018
271,다사265352,186,2018
272,다사244366,1045,2018
273,다사272345,543,2018
274,다사285359,262,2018
275,다사243362,525,2018
276,다사271360,241,2018
277,다사248335,287,2018
278,다사245312,314,2018
279,다사261364,188,2018
280,다사270345,626,2018
281,다사264352,258,2018
282,다사273343,1009,2018
283,다사256372,0,2018
284,다사238335,468,2018
285,다사285362,380,2018
286,다사267344,115,2018
287,다사292377,6,2018
288,다사262362,548,2018
289,다사244334,282,2018
290,다사249331,248,2018
291,다사271319,441,2018
292,다사266366,72,2018
293,다사245362,18,2018
294,다사266343,583,2018
295,다사270347,664,2018
296,다사273363,549,2018
297,다사247307,172,2018
298,다사255325,384,2018
299,다사253331,302,2018
300,다사270320,347,2018
301,다사242334,52,2018
302,다사264323,317,2018
303,다사249311,1121,2018
304,다사248372,0,2018
305,다사271365,79,2018
306,다사241318,304,2018
307,다사257328,184,2018
308,다사255367,26,2018
309,다사253364,279,2018
310,다사292361,510,2018
311,다사231329,2768,2018
312,다사270348,464,2018
313,다사288361,538,2018
314,다사247365,734,2018
315,다사241369,256,2018
316,다사274344,1045,2018
317,다사250369,141,2018
318,다사263361,139,2018
319,다사268319,237,2018
320,다사251368,211,2018
321,다사246326,1073,2018
322,다사243366,264,2018
323,다사269356,156,2018
324,다사273350,146,2018
325,다사246369,317,2018
326,다사267353,57,2018
327,다사243364,218,2018
328,다사241336,131,2018
329,다사263346,322,2018
330,다사268363,199,2018
331,다사270363,204,2018
332,다사275365,318,2018
333,다사243316,50,2018
334,다사260369,300,2018
335,다사252332,652,2018
336,다사284361,933,2018
337,다사291365,337,2018
338,다사242335,599,2018
339,다사240335,561,2018
340,다사273364,207,2018
341,다사268351,529,2018
342,다사285363,257,2018
343,다사256352,0,2018
344,다사260348,300,2018
345,다사247311,131,2018
346,다사257367,187,2018
347,다사245369,56,2018
348,다사282355,732,2018
349,다사243339,627,2018
350,다사276367,118,2018
351,다사270318,326,2018
352,다사271359,222,2018
353,다사251309,495,2018
354,다사241341,241,2018
355,다사249337,208,2018
356,다사256374,130,2018
357,다사289371,120,2018
358,다사251329,198,2018
359,다사245367,341,2018
360,다사250367,481,2018
361,다사287369,511,2018
362,다사268352,424,2018
363,다사247333,464,2018
364,다사246338,61,2018
365,다사270342,302,2018
366,다사251358,0,2018
367,다사275354,279,2018
368,다사293363,112,2018
369,다사288371,420,2018
370,다사240336,667,2018
371,다사247368,236,2018
372,다사269339,118,2018
373,다사242364,494,2018
374,다사262344,107,2018
375,다사254330,556,2018
376,다사245366,996,2018
377,다사255322,244,2018
378,다사247360,142,2018
379,다사244369,121,2018
380,다사259327,192,2018
381,다사250364,516,2018
382,다사293373,0,2018
383,다사241334,134,2018
384,다사258364,0,2018
385,다사242325,0,2018
386,다사261369,187,2018
387,다사241330,555,2018
388,다사265370,238,2018
389,다사262346,398,2018
390,다사253329,383,2018
391,다사277367,142,2018
392,다사238333,138,2018
393,다사243343,190,2018
394,다사251363,34,2018
395,다사252312,528,2018
396,다사265359,609,2018
397,다사243317,259,2018
398,다사270358,202,2018
399,다사268342,208,2018
400,다사269364,377,2018
401,다사232318,281,2018
402,다사263345,180,2018
403,다사243338,243,2018
404,다사251357,18,2018
405,다사253363,183,2018
406,다사278355,602,2018
407,다사289359,143,2018
408,다사265343,175,2018
409,다사269360,132,2018
410,다사273366,199,2018
411,다사275362,710,2018
412,다사258372,77,2018
413,다사247361,81,2018
414,다사263323,393,2018
415,다사264339,863,2018
416,다사232330,106,2018
417,다사249335,204,2018
418,다사257324,289,2018
419,다사249367,195,2018
420,다사274359,118,2018
421,다사270344,621,2018
422,다사279355,290,2018
423,다사264358,669,2018
424,다사269357,197,2018
425,다사264349,342,2018
426,다사259326,231,2018
427,다사270359,6,2018
428,다사251353,0,2018
429,다사281353,734,2018
430,다사250305,1052,2018
431,다사230336,70,2018
432,다사244335,968,2018
433,다사256323,386,2018
434,다사262351,358,2018
435,다사244337,51,2018
436,다사231332,776,2018
437,다사252359,0,2018
438,다사267357,358,2018
439,다사276360,778,2018
440,다사249359,0,2018
441,다사268361,161,2018
442,다사249373,0,2018
443,다사259319,510,2018
444,다사263340,437,2018
445,다사230319,287,2018
446,다사260325,759,2018
447,다사271353,240,2018
448,다사265361,221,2018
449,다사247315,312,2018
450,다사272365,364,2018
451,다사245365,663,2018
452,다사244367,1188,2018
453,다사243365,493,2018
454,다사267358,319,2018
455,다사248336,148,2018
456,다사249307,53,2018
457,다사248362,38,2018
458,다사272346,37,2018
459,다사270356,36,2018
460,다사253366,8,2018
461,다사237335,683,2018
462,다사248359,65,2018
463,다사245363,881,2018
464,다사247329,255,2018
465,다사255308,578,2018
466,다사245364,881,2018
467,다사248315,254,2018
468,다사249305,1189,2018
469,다사243328,559,2018
470,다사272344,499,2018
471,다사251362,0,2018
472,다사245338,212,2018
473,다사254356,0,2018
474,다사249368,87,2018
475,다사263341,503,2018
476,다사251361,192,2018
477,다사279353,305,2018
478,다사267339,163,2018
479,다사274346,562,2018
