base_date,center,total_pop,total_youth_pop,total_adult_pop,total_senior_pop,senior_rate,youth_rate,adult_rate
2018,신도시,136304,37869,86390,12045,8.836864655475994,27.782750322807843,63.380385021716165
2018,원도심,210055,37347,134353,38355,18.25950346337864,17.779629144747805,63.960867391873556
2019,신도시,155651,42065,98989,14597,9.3780316220262,27.025203821369605,63.5967645566042
2019,원도심,210899,35744,133396,41759,19.800473212295934,16.948397100033667,63.25112968767041
2020,신도시,182405,48188,116020,18197,9.97615196951838,26.41813546777775,63.60571256270388
2020,원도심,205045,32939,127231,44875,21.885439781511376,16.064278572996173,62.050281645492454
2021,신도시,188924,49253,119303,20368,10.781054815693084,26.070271643623894,63.14867354068304
2021,원도심,200720,30955,122065,47700,23.764447987245916,15.42198086887206,60.81357114388203
