,end_nm,base_date,price_per_area,cntrc_area,lot_purpose,use_area,road_cndtn
1003,동춘동,2021,101.749,629.0,임야,제1종일반주거지역,-
1004,옥련동,2021,83.085,201.0,임야,자연녹지지역,12m미만
1005,옥련동,2021,423.923,13.0,도로,제2종일반주거지역,25m이상
1006,옥련동,2021,423.886,167.0,대,제2종일반주거지역,25m이상
1007,옥련동,2021,183.246,191.0,대,제1종일반주거지역,8m미만
1008,옥련동,2021,183.655,326.7,대,제1종일반주거지역,8m미만
1009,옥련동,2021,114.491,585.2,대,제2종일반주거지역,12m미만
1010,선학동,2021,69.502,1446.0,전,개발제한구역,25m이상
1011,선학동,2021,73.333,75.0,답,개발제한구역,25m이상
1012,옥련동,2021,655.063,106.86,대,자연녹지지역,-
1013,옥련동,2021,172.84,202.5,대,준주거지역,8m미만
1014,옥련동,2021,393.557,1133.0,전,제3종일반주거지역,25m이상
1015,옥련동,2021,390.0,170.0,도로,제3종일반주거지역,25m이상
1016,송도동,2021,192.5,3864.5,대,준주거지역,25m미만
1017,옥련동,2021,22.727,22.0,도로,제1종일반주거지역,8m미만
1018,옥련동,2021,22.727,22.0,도로,제1종일반주거지역,8m미만
1019,옥련동,2021,127.193,114.0,대,제2종일반주거지역,-
1020,옥련동,2021,193.009,113.0,대,자연녹지지역,-
1021,송도동,2021,589.159,1018.4,대,준주거지역,25m미만
1022,송도동,2021,587.438,1446.96,대,준주거지역,25m미만
1023,송도동,2021,76.295,3662.8,학교용지,제3종일반주거지역,25m미만
1024,송도동,2021,589.171,169.73,대,준주거지역,25m미만
1025,송도동,2021,734.301,170.23,대,준주거지역,25m미만
1026,송도동,2021,748.247,169.73,대,준주거지역,25m미만
1027,송도동,2021,1527.256,85.12,대,준주거지역,25m미만
1028,옥련동,2021,51.064,47.0,대,제3종일반주거지역,-
1029,옥련동,2021,55.556,9.0,도로,제1종일반주거지역,12m미만
1030,동춘동,2021,121.843,293.0,전,제1종일반주거지역,-
1031,연수동,2021,8.631,869.0,임야,보전녹지지역,-
1032,동춘동,2021,203.443,255.6,대,준주거지역,8m미만
1033,송도동,2021,37.207,141280.8,대,준주거지역,25m이상
1034,송도동,2021,572.876,165.83,대,준주거지역,12m미만
1035,송도동,2021,572.876,165.83,대,준주거지역,12m미만
1036,동춘동,2021,242.323,478.7,대,근린상업지역,12m미만
1037,동춘동,2021,491.591,309.2,대,근린상업지역,25m이상
1038,옥련동,2021,152.0,119.0,대,자연녹지지역,25m미만
1039,옥련동,2021,96.899,198.0,도로,자연녹지지역,25m이상
1040,옥련동,2021,152.0,19.0,대,자연녹지지역,25m미만
1041,옥련동,2021,105.5,192.0,대,자연녹지지역,8m미만
1042,옥련동,2021,74.85,320.0,전,자연녹지지역,8m미만
1043,옥련동,2021,150.0,214.98,대,자연녹지지역,8m미만
1044,옥련동,2021,51.1,1200.0,전,자연녹지지역,-
1045,옥련동,2021,62.8,1119.0,전,자연녹지지역,8m미만
1046,옥련동,2021,75.0,1.0,전,자연녹지지역,25m이상
1047,옥련동,2021,74.848,112.0,전,자연녹지지역,25m이상
1048,옥련동,2021,401.115,26.0,대,제2종일반주거지역,25m이상
1049,옥련동,2021,404.833,6.0,대,제2종일반주거지역,25m이상
1050,옥련동,2021,402.636,11.0,대,제2종일반주거지역,25m이상
1051,송도동,2021,648.088,169.73,대,준주거지역,25m미만
1052,송도동,2021,573.741,165.58,대,준주거지역,12m미만
1053,송도동,2021,573.741,165.58,대,준주거지역,12m미만
1054,옥련동,2021,250.0,4.0,대,제2종일반주거지역,12m미만
1055,동춘동,2021,320.28,407.0,답,자연녹지지역,25m이상
1056,동춘동,2021,320.286,91.0,답,자연녹지지역,25m이상
1057,선학동,2021,197.869,328.5,대,제1종일반주거지역,8m미만
1058,송도동,2021,232.456,7493.9,대,준주거지역,25m미만
1059,송도동,2021,637.002,165.56,대,준주거지역,25m미만
1060,선학동,2021,44.412,3445.0,전,개발제한구역,8m미만
1061,청학동,2021,368.288,515.9,대,중심상업지역,25m미만
1062,옥련동,2021,209.811,132.5,대,제2종일반주거지역,8m미만
1063,옥련동,2021,210.448,134.0,대,제2종일반주거지역,8m미만
1064,송도동,2021,644.678,2577.1,대,준주거지역,25m이상
1065,송도동,2021,802.812,4081.9,대,준주거지역,25m이상
1066,동춘동,2021,242.357,363.1,대,근린상업지역,8m미만
1067,송도동,2021,694.444,165.6,대,준주거지역,25m미만
1068,선학동,2021,42.403,1007.0,전,자연녹지지역,-
1069,옥련동,2021,197.044,345.1,대,준주거지역,8m미만
1070,옥련동,2021,125.0,16.0,전,제1종일반주거지역,8m미만
1071,옥련동,2021,125.0,16.0,전,제1종일반주거지역,8m미만
1072,옥련동,2021,125.0,16.0,전,제1종일반주거지역,8m미만
1073,옥련동,2021,125.0,16.0,전,제1종일반주거지역,8m미만
1074,동춘동,2021,175.758,660.0,전,제1종일반주거지역,-
1075,동춘동,2021,186.944,337.0,전,제1종일반주거지역,-
1076,옥련동,2021,44.722,18.0,도로,제2종일반주거지역,12m미만
1077,선학동,2021,122.315,298.0,대,제1종일반주거지역,-
1078,선학동,2021,197.869,328.5,대,제1종일반주거지역,8m미만
1079,선학동,2021,144.804,537.0,전,제1종일반주거지역,8m미만
1080,옥련동,2021,167.0,30.0,전,제2종일반주거지역,12m미만
1081,송도동,2021,603.938,165.58,대,준주거지역,12m미만
1082,옥련동,2021,135.0,10107.0,잡종지,자연녹지지역,12m미만
1083,옥련동,2021,44.5,1215.0,잡종지,자연녹지지역,25m이상
1084,옥련동,2021,44.5,18.0,잡종지,자연녹지지역,25m이상
1085,옥련동,2021,44.5,2.0,잡종지,자연녹지지역,25m이상
1086,송도동,2021,723.633,165.83,대,준주거지역,12m미만
1087,송도동,2021,694.507,331.17,대,준주거지역,12m미만
1088,송도동,2021,693.492,663.31,대,준주거지역,12m미만
1089,송도동,2021,911.378,874.5,대,준주거지역,25m미만
1090,송도동,2021,76.295,6003.9,공장용지,준주거지역,25m미만
1091,송도동,2021,572.876,165.83,대,준주거지역,12m미만
1092,청학동,2021,272.037,36.87,대,제2종일반주거지역,12m미만
1093,청학동,2021,272.167,37.33,대,제2종일반주거지역,12m미만
1094,청학동,2021,272.167,37.33,대,제2종일반주거지역,12m미만
1095,청학동,2021,272.167,37.33,대,제2종일반주거지역,12m미만
1096,청학동,2021,287.255,36.17,대,제2종일반주거지역,12m미만
1097,청학동,2021,287.168,37.33,대,제2종일반주거지역,12m미만
1098,청학동,2021,544.374,36.17,대,제2종일반주거지역,12m미만
1099,청학동,2021,544.334,37.33,대,제2종일반주거지역,12m미만
1100,청학동,2021,272.165,176.29,대,제2종일반주거지역,12m미만
1101,청학동,2021,272.218,181.95,대,제2종일반주거지역,12m미만
1102,청학동,2021,248.04,35.72,대,제2종일반주거지역,12m미만
1103,청학동,2021,247.898,36.87,대,제2종일반주거지역,12m미만
1104,청학동,2021,271.991,34.56,대,제2종일반주거지역,12m미만
1105,청학동,2021,271.991,34.56,대,제2종일반주거지역,12m미만
1106,청학동,2021,272.218,35.67,대,제2종일반주거지역,12m미만
1107,청학동,2021,272.218,35.67,대,제2종일반주거지역,12m미만
1108,청학동,2021,272.116,35.72,대,제2종일반주거지역,12m미만
1109,청학동,2021,272.049,36.17,대,제2종일반주거지역,12m미만
1110,청학동,2021,272.049,36.17,대,제2종일반주거지역,12m미만
1111,청학동,2021,272.049,36.17,대,제2종일반주거지역,12m미만
1112,송도동,2021,76.295,10434.1,공장용지,준공업지역,25m이상
1113,송도동,2021,572.876,165.83,대,준주거지역,12m미만
1114,선학동,2021,18.519,54.0,제방,개발제한구역,8m미만
1115,동춘동,2021,122.805,110.5,대,제3종일반주거지역,-
1116,동춘동,2021,104.615,65.0,대,보전녹지지역,8m미만
1117,선학동,2021,144.804,537.0,전,제1종일반주거지역,8m미만
1118,동춘동,2021,94.964,695.0,임야,자연녹지지역,8m미만
1119,동춘동,2021,161.514,634.0,임야,제1종일반주거지역,-
1120,동춘동,2021,158.915,645.0,임야,제1종일반주거지역,-
1121,동춘동,2021,158.915,645.0,임야,제1종일반주거지역,-
1122,동춘동,2021,166.79,676.0,임야,제1종일반주거지역,-
1123,옥련동,2021,133.148,162.0,임야,제1종일반주거지역,12m미만
1124,청학동,2021,200.714,42.0,잡종지,제1종일반주거지역,12m미만
1125,옥련동,2021,87.873,569.0,대,제2종일반주거지역,-
1126,동춘동,2021,74.074,891.0,임야,자연녹지지역,8m미만
1127,송도동,2021,852.0,827.4,대,준주거지역,25m이상
1128,동춘동,2021,178.082,730.0,전,제1종일반주거지역,-
1129,동춘동,2021,250.453,331.0,대,제1종일반주거지역,-
1130,옥련동,2021,199.095,442.0,대,제2종일반주거지역,8m미만
1131,동춘동,2021,147.659,19705.0,임야,제3종일반주거지역,-
1132,옥련동,2021,353.774,33.92,대,제2종일반주거지역,12m미만
1133,옥련동,2021,140.797,128.0,도로,제2종일반주거지역,8m미만
1134,송도동,2021,841.296,166.41,대,준주거지역,25m이상
1135,옥련동,2021,272.093,172.0,대,자연녹지지역,-
1136,옥련동,2021,34.551,792.0,도로,자연녹지지역,12m미만
1137,옥련동,2021,149.972,35.7,임야,자연녹지지역,8m미만
1138,옥련동,2021,34.548,177.0,도로,제2종일반주거지역,12m미만
1139,송도동,2021,784.692,165.67,대,준주거지역,25m미만
1140,동춘동,2021,131.399,586.0,임야,제1종일반주거지역,-
1141,연수동,2021,309.278,48.5,대,제2종일반주거지역,8m미만
1142,송도동,2021,784.692,165.67,대,준주거지역,25m미만
1143,송도동,2021,76.295,10279.0,공장용지,준공업지역,25m이상
1144,송도동,2021,784.692,165.67,대,준주거지역,25m미만
1145,옥련동,2021,286.047,258.0,대,제2종일반주거지역,-
1146,송도동,2021,603.865,165.6,대,준주거지역,25m미만
1147,송도동,2021,92.937,988.0,주차장,일반상업지역,25m미만
1148,옥련동,2021,225.58,469.9,대,준주거지역,12m미만
1149,선학동,2021,44.3,2120.0,전,개발제한구역,8m미만
1150,동춘동,2021,135.248,113.0,도로,제2종일반주거지역,8m미만
1151,동춘동,2021,135.566,189.0,도로,제2종일반주거지역,8m미만
1152,동춘동,2021,123.5,362.3,대,용도미지정,-
1153,송도동,2021,76.295,2542.0,학교용지,용도미지정,-
1154,옥련동,2021,199.095,442.0,대,제2종일반주거지역,8m미만
1155,동춘동,2021,332.732,60.98,잡종지,자연녹지지역,-
1156,송도동,2021,126.256,9924.4,대,준주거지역,25m이상
1157,동춘동,2021,213.445,595.0,전,제3종일반주거지역,-
1158,송도동,2021,784.692,165.67,대,준주거지역,25m미만
1159,청학동,2021,1185.278,1282.4,대,중심상업지역,25m미만
1160,옥련동,2021,150.651,122.8,대,제2종일반주거지역,8m미만
1161,송도동,2021,108.632,30413.8,대,준주거지역,25m이상
1162,동춘동,2021,247.059,17.0,도로,제2종일반주거지역,8m미만
