,end_nm,base_date,price_per_area,exclusive_area,floor,right_type
143,송도동,2018,539.295,84.9999,17,분
144,송도동,2018,538.118,84.9999,12,분
145,송도동,2018,546.707,84.9999,39,분
146,송도동,2018,529.029,95.8548,19,분
147,송도동,2018,534.976,95.8548,31,분
148,송도동,2018,535.765,84.9999,15,분
149,송도동,2018,543.401,84.9999,30,분
150,송도동,2018,508.06,95.8548,4,분
151,송도동,2018,539.253,95.8548,39,분
152,송도동,2018,504.236,84.9999,2,분
153,송도동,2018,546.118,84.9999,49,분
154,송도동,2018,535.765,84.9999,18,분
155,송도동,2018,535.177,84.9999,11,분
156,송도동,2018,524.661,84.8166,12,분
157,송도동,2018,541.767,84.7966,43,분
158,송도동,2018,548.471,84.9999,42,분
159,송도동,2018,511.105,84.7966,4,분
160,송도동,2018,531.507,84.7966,14,분
161,송도동,2018,551.616,95.8548,43,분
162,송도동,2018,536.113,95.8548,22,분
163,송도동,2018,536.942,84.9999,10,분
164,송도동,2018,532.097,84.7966,27,분
165,송도동,2018,536.942,84.9999,15,분
166,송도동,2018,508.06,95.8548,4,분
167,송도동,2018,520.214,95.8548,5,분
168,송도동,2018,547.295,84.9999,37,분
169,송도동,2018,501.589,84.9999,1,분
170,송도동,2018,526.118,84.9999,6,분
171,송도동,2018,552.001,84.9999,44,분
172,송도동,2018,562.589,84.9999,37,분
173,송도동,2018,530.707,84.9999,8,분
174,송도동,2018,539.253,95.8548,36,분
175,송도동,2018,535.53,84.9999,13,분
176,송도동,2018,546.118,84.9999,31,분
177,송도동,2018,547.295,84.9999,41,분
178,송도동,2018,504.236,84.9999,2,분
179,송도동,2018,532.62,84.8166,16,분
180,송도동,2018,543.707,84.9999,10,분
181,송도동,2018,538.118,84.9999,12,분
182,송도동,2018,503.939,95.8548,4,분
183,송도동,2018,547.53,84.9999,41,분
184,송도동,2018,535.765,84.9999,13,분
185,송도동,2018,535.765,84.9999,15,분
186,송도동,2018,494.001,84.9999,1,분
187,송도동,2018,529.029,95.8548,30,분
188,송도동,2018,532.981,84.7966,10,분
189,송도동,2018,549.648,84.9999,46,분
190,송도동,2018,514.589,84.9999,4,분
191,송도동,2018,535.177,84.9999,17,분
192,송도동,2018,504.824,84.9999,2,분
193,송도동,2018,548.471,84.9999,40,분
194,송도동,2018,532.097,84.7966,28,분
195,송도동,2018,529.551,95.8548,17,분
196,송도동,2018,550.258,84.7966,35,분
197,송도동,2018,518.597,95.8548,5,분
198,송도동,2018,504.236,84.9999,2,분
199,송도동,2018,536.942,84.9999,22,분
200,송도동,2018,543.217,95.8548,43,분
201,송도동,2018,540.471,84.9999,23,분
202,송도동,2018,536.942,84.9999,15,분
203,송도동,2018,532.097,84.7966,30,분
204,송도동,2018,541.648,84.9999,22,분
205,송도동,2018,546.118,84.9999,37,분
206,송도동,2018,551.616,95.8548,46,분
207,송도동,2018,518.806,95.8548,8,분
208,송도동,2018,542.946,84.7966,45,분
209,송도동,2018,536.942,84.9999,15,분
210,송도동,2018,538.751,84.8166,48,분
211,송도동,2018,535.273,84.8166,47,분
212,송도동,2018,529.812,95.8548,14,분
213,송도동,2018,523.813,95.8548,16,분
214,송도동,2018,552.137,95.8548,48,분
215,송도동,2018,548.471,84.9999,39,분
216,송도동,2018,533.048,84.9999,8,분
217,송도동,2018,535.862,84.8166,38,분
218,송도동,2018,538.118,84.9999,29,분
219,송도동,2018,549.648,84.9999,44,분
