,end_nm,base_date,deposit_per_area,exclusive_area,cnstr_year,floor,type
84,송도동,2018,250.0431108811864,115.98,2013,26.0,아파트
85,송도동,2018,258.6652871184687,115.98,2013,11.0,아파트
86,송도동,2018,263.21330806485577,94.98,2013,6.0,아파트
87,송도동,2018,288.8429039489567,115.98,2013,3.0,아파트
88,송도동,2018,392.1953132660065,101.99,2013,38.0,아파트
89,송도동,2018,275.90963959303326,115.98,2013,12.0,아파트
90,송도동,2018,315.82271818086116,94.99,2013,9.0,아파트
91,송도동,2018,326.02252519264965,134.96,2013,23.0,아파트
92,송도동,2018,310.3983445421624,115.98,2013,9.0,아파트
93,송도동,2018,388.32666509767,84.98,2013,17.0,아파트
94,송도동,2018,340.03143745198986,64.6999,2014,8.0,아파트
95,송도동,2018,346.0813413298481,98.2428,2014,35.0,아파트
96,송도동,2018,356.26020431013774,98.2428,2014,37.0,아파트
97,송도동,2018,399.93766488809325,72.5113,2014,19.0,아파트
98,송도동,2018,482.6833886580436,72.5113,2014,23.0,아파트
99,송도동,2018,467.28893977146237,59.9201,2014,2.0,아파트
100,송도동,2018,412.4041749442076,84.8682,2014,4.0,아파트
101,송도동,2018,400.06521062933257,99.9837,2014,3.0,아파트
102,송도동,2018,388.2997061865556,84.9859,2014,4.0,아파트
103,송도동,2018,400.06521062933257,99.9837,2014,30.0,아파트
104,송도동,2018,411.8330217130136,84.9859,2014,19.0,아파트
105,송도동,2018,438.6963367670214,84.3408,2014,12.0,아파트
106,송도동,2018,462.4096522679415,84.3408,2014,24.0,아파트
107,송도동,2018,474.2663100184015,84.3408,2014,16.0,아파트
108,송도동,2018,450.07336195799917,99.9837,2014,16.0,아파트
109,송도동,2018,585.8474488394069,170.6929,2010,28.0,아파트
110,송도동,2018,352.9973629020536,96.318,2010,16.0,아파트
111,송도동,2018,427.78641272573833,77.1413,2010,24.0,아파트
112,송도동,2018,556.5550763974366,170.6929,2010,16.0,아파트
113,송도동,2018,373.76191366099795,96.318,2010,37.0,아파트
114,송도동,2018,445.9296378772635,71.7602,2011,34.0,아파트
115,송도동,2018,378.47928914019917,105.6861,2011,22.0,아파트
116,송도동,2018,458.28114020347687,104.7392,2011,26.0,아파트
117,송도동,2018,420.09104518652043,104.7392,2011,27.0,아파트
118,송도동,2018,362.31783077527655,71.7602,2011,37.0,아파트
119,송도동,2018,194.68188979207974,133.5512,2011,35.0,아파트
120,송도동,2018,431.994336693599,71.7602,2011,39.0,아파트
121,송도동,2018,429.6385689407595,104.7392,2011,25.0,아파트
122,송도동,2018,407.9825116441918,134.8097,2011,14.0,아파트
123,송도동,2018,373.69792345623654,115.0662,2009,21.0,아파트
124,송도동,2018,365.0072740735333,115.0662,2009,21.0,아파트
125,송도동,2018,326.93144481124773,128.4673,2009,21.0,아파트
126,송도동,2018,402.7706593657772,99.3121,2009,7.0,아파트
127,송도동,2018,369.1849084077999,116.4728,2009,13.0,아파트
128,송도동,2018,348.3403517463463,129.184,2009,10.0,아파트
129,송도동,2018,352.4192723487541,116.3387,2009,3.0,아파트
130,송도동,2018,395.58561615536496,113.7554,2009,13.0,아파트
131,송도동,2018,235.7340269874817,123.02,2009,4.0,아파트
132,송도동,2018,251.99154609006666,123.02,2009,58.0,아파트
133,송도동,2018,245.70507528403505,101.748,2009,26.0,아파트
134,송도동,2018,339.3097083293747,147.358,2009,8.0,아파트
135,송도동,2018,294.15225320625956,84.99,2009,3.0,아파트
136,송도동,2018,341.2166137192611,84.99,2009,2.0,아파트
137,송도동,2018,343.9871053976491,101.748,2009,28.0,아파트
138,송도동,2018,318.7826752242105,141.162,2009,29.0,아파트
139,송도동,2018,400.48057669203047,84.898,2009,12.0,아파트
140,송도동,2018,318.7826752242105,141.162,2009,34.0,아파트
141,송도동,2018,226.2497320726857,125.967,2009,24.0,아파트
142,송도동,2018,231.6557595413216,120.869,2009,36.0,아파트
143,송도동,2018,388.2260956552986,110.7602,2012,18.0,아파트
144,송도동,2018,379.19758180284975,110.7602,2012,26.0,아파트
145,송도동,2018,299.311583358276,110.253,2012,22.0,아파트
146,송도동,2018,413.8191964813545,84.578,2016,11.0,아파트
147,송도동,2018,414.5871501674142,101.3056,2016,17.0,아파트
148,송도동,2018,401.9957908676015,84.578,2016,43.0,아파트
149,송도동,2018,483.56302577057437,59.9715,2016,40.0,아파트
150,송도동,2018,444.2005180365153,101.3056,2016,32.0,아파트
151,송도동,2018,413.8191964813545,84.578,2016,23.0,아파트
152,송도동,2018,309.62318233208805,63.9487,2017,28.0,아파트
153,송도동,2018,398.7571287610225,63.9487,2017,15.0,아파트
154,송도동,2018,422.2134304528473,63.9487,2017,6.0,아파트
155,송도동,2018,329.7453894528582,84.914,2006,6.0,아파트
156,송도동,2018,354.6686212848462,84.586,2006,12.0,아파트
157,송도동,2018,295.5571844040385,84.586,2006,7.0,아파트
158,송도동,2018,283.73489702787697,84.586,2006,9.0,아파트
159,송도동,2018,331.02404653252313,84.586,2006,18.0,아파트
160,송도동,2018,294.4155262971948,84.914,2006,18.0,아파트
161,송도동,2018,423.84904380833075,84.9359,2017,31.0,아파트
162,송도동,2018,400.3018747078679,84.9359,2017,16.0,아파트
163,송도동,2018,413.71560655378903,74.9307,2017,32.0,아파트
164,송도동,2018,412.07545925809933,84.9359,2017,18.0,아파트
165,송도동,2018,453.32262032980003,63.9721,2017,17.0,아파트
166,송도동,2018,420.26168294124477,74.9533,2017,13.0,아파트
167,송도동,2018,437.690805835669,63.9721,2017,22.0,아파트
168,송도동,2018,468.9544348239311,63.9721,2017,29.0,아파트
169,송도동,2018,437.690805835669,63.9721,2017,7.0,아파트
